0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-447.23413,112.413124,-16.2954,47.3408,-15.971102,29.118145,-0.40689045,16.400707,8.011381,-0.992196,15.627114,-3.7472262,13.736324,-3.176848,4.038143,-1.4029716,-0.6364497,3.4560237,-7.0650225,1.4545257,-6.5525513,2.4913769,-1.373804,1.86942,0.83357257,-2.0389936,5.1700816,-3.9625533,-0.047606107,-1.829259,-0.17722583,-3.4737644,-2.66196,1.4376403,-0.66096836,4.261948,1.2992767,2.167253,-0.6354012,0.31326774,No
-452.30685,113.87822,-13.88748,47.660355,-18.83731,29.660593,2.8109672,19.566023,10.011925,-0.5718822,14.799817,-4.516537,13.320457,-3.1402917,2.958067,-3.6519125,-2.0376053,2.9214604,-6.575915,0.5601092,-8.173731,1.6783307,-0.50736713,2.785041,-0.37761965,-2.3928072,4.720709,-4.2810297,0.41716102,-0.64925116,0.7800468,-3.389764,-1.4325194,1.6377592,-1.3657435,3.8705835,1.9004971,3.4296334,0.37669024,0.5583119,No
-452.7821,124.49799,-28.48122,51.94421,-23.371763,34.876987,-5.0382767,18.732521,10.706926,1.100793,16.503351,-6.4735546,17.328754,-4.629455,3.2749903,-4.4893494,0.31261328,3.3259554,-8.0295515,1.5388032,-8.645968,3.7146566,-2.0848765,2.7777674,-0.16355489,-1.6976405,5.1798964,-4.4539876,1.4933869,-1.3655274,1.1606499,-3.2574785,-0.4262618,0.48818815,-1.7419639,3.6075196,0.08043193,1.4969041,-2.1650543,1.2272637,No
-458.65076,111.97117,-18.483652,51.51916,-20.104765,32.769547,1.0887636,18.386728,8.854766,-0.43837953,16.06794,-3.3485827,16.810375,-3.1832128,4.4201593,-2.5764847,-0.89408743,3.491697,-7.936338,1.1939288,-7.5406966,3.100843,-0.10653153,2.9402676,0.5147624,-1.9536008,5.1623073,-3.4984148,1.0933388,-1.2783649,0.42098475,-2.9824395,-1.0459592,0.48797956,-2.8005276,2.8928308,0.21596614,1.5537916,-1.6930834,0.5190964,No
-394.7299,122.015945,-15.12679,44.130684,-13.918359,26.722044,-5.532344,11.005596,3.4113321,-5.240014,10.957778,-6.4181867,11.969661,-5.06212,1.5065588,-4.1727467,-1.031577,3.683847,-9.811986,-0.06391084,-6.018691,2.117252,-3.5647776,-0.3553929,0.48928952,-2.9384665,4.1965947,-4.539537,0.29404914,-2.8471897,-0.3543586,-0.9081072,-2.2282772,1.3411013,-1.9389014,4.362224,1.724299,2.0531652,1.4658835,1.4301021,No
-447.92,116.61532,-17.448816,44.796097,-20.779118,32.11256,4.2574935,19.081747,8.69378,0.63474846,17.353008,-4.3974447,11.981304,-3.7580206,4.426978,-2.7323332,-0.88983876,4.2359896,-6.1897244,1.4565998,-6.20166,3.0118928,-1.100555,2.3791344,-0.07835216,-2.336109,4.28814,-3.6890001,0.91915864,-1.8968751,0.16542117,-3.483536,-2.4941614,0.4317791,-1.8293751,2.6501162,-0.56541055,1.490817,-0.5248013,0.8727924,No
-451.31918,119.35361,-14.721367,45.5705,-22.429937,31.276974,2.7748573,17.61842,7.733685,-1.2684954,15.069476,-4.348213,14.139571,-3.989528,3.6424394,-2.3625908,-0.8227005,3.7151988,-6.2067723,2.414772,-6.919475,2.621553,-0.2610623,2.5232353,-0.24742657,-2.278534,4.5564637,-4.3382545,0.08336428,-1.9660499,0.42740828,-3.8987997,-2.2286432,1.2515776,-2.252079,2.8478627,0.04358129,1.724903,-0.32659256,1.0317297,No
-450.25064,116.358444,-15.445021,45.605618,-19.072512,31.909807,3.4268346,18.173483,9.527606,-0.7530993,14.3855,-4.901446,12.9697485,-3.5819416,2.8376076,-2.919136,-0.42808753,2.9056046,-7.5967174,1.7891682,-6.2901297,2.7640932,-0.7378619,2.3839521,-0.18819273,-2.4888992,5.1364107,-3.5199392,0.79331887,-1.14047,1.1281314,-2.7104769,-1.658876,1.5030531,-1.9533666,3.5442336,1.0340613,2.0496905,-0.28273785,0.70959526,No
-450.95123,115.621544,-17.955065,48.607265,-22.539206,33.569756,2.6469417,18.997152,8.339183,-0.14279415,16.272303,-5.5314183,13.935644,-4.2288074,3.3564496,-3.0119784,-0.1778007,3.602898,-6.896145,1.5464282,-7.1398535,3.2169054,-1.0769935,1.8018862,-1.1369265,-2.0444508,5.3516836,-3.651985,0.6019357,-1.487779,0.5239164,-3.3104835,-1.4282697,-0.028864898,-1.7583264,3.3163774,0.63682985,2.8848917,-1.0615485,-0.02330697,No
-457.6222,123.20985,-20.893303,51.191315,-28.306658,32.309784,2.190092,21.883215,8.128953,-1.6142454,17.525864,-5.324045,15.042954,-4.36509,4.148099,-3.2847538,-0.5293728,3.193928,-6.124351,2.3305373,-7.5317726,4.678069,-0.7153853,2.87021,-0.8672888,-2.2520127,5.6990695,-3.4418094,0.5138364,-2.388438,0.8257174,-4.3828826,-1.5631287,1.0340239,-1.1426113,4.256618,0.22888632,1.9931111,-1.5169265,0.16923231,No
